ProductId,Name,Area,AreaImage,AreaAppBarImage,Category,CategoryImage,Price,Description,Image,XLargeImage,ThumbnailImage,Rating,Featured,Review1Text,Review1Author,Review1Title,Review2Text,Review2Author,Review2Title,Review3Text,Review3Author,Review3Title
1,Men's Green Scarf,Around the Neck,http://localhost:2139/Images/Areas/man_area_1.png,http://localhost:2139/Images/Areas/man_appbar_1.png,Scarves,http://localhost:2139/Images/Products/man_full_xlarge_1.png,29.99,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",http://localhost:2139/Images/Products/man_full_xlarge_1.png,http://localhost:2139/Images/Products/man_full_xlarge_1.png,http://localhost:2139/Images/Products/man_head_med_3.png,4.5,FALSE,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",John Doe,Lorem Ipsum Dolor,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jim Doe,Lorem Ipsum Dolor Sit Amet,,,
2,Wool Cap,For the Head,http://localhost:2139/Images/Areas/man_area_2.png,http://localhost:2139/Images/Areas/man_appbar_2.png,Hats,http://localhost:2139/Images/Products/man_full_xlarge_4.png,29.99,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",http://localhost:2139/Images/Products/man_full_xlarge_3.png,http://localhost:2139/Images/Products/man_full_xlarge_3.png,http://localhost:2139/Images/Products/man_head_med_4.png,3,TRUE,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jane Doe,Consectetur Adipisicing Elit,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jamie Doe,Lorem Ipsum Dolor,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jim Doe,Lorem Ipsum Dolor Sit Amet
3,Men's Blue Tie,Around the Neck,http://localhost:2139/Images/Areas/man_area_1.png,http://localhost:2139/Images/Areas/man_appbar_1.png,Ties,http://localhost:2139/Images/Products/man_full_390x1123__2.png,25.99,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",http://localhost:2139/Images/Products/man_full_390x1123__3.png,http://localhost:2139/Images/Products/man_full_390x1123__3.png,http://localhost:2139/Images/Products/man_head_med_4.png,5,TRUE,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jack Doe,Sed Do Eiumond Tempor,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jessica Doe,Consectetur Adipisicing Elit,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jane Doe,Lorem Ipsum Dolor Sit Amet
4,Men's Red Tie,Around the Neck,http://localhost:2139/Images/Areas/man_area_1.png,http://localhost:2139/Images/Areas/man_appbar_1.png,Ties,http://localhost:2139/Images/Products/man_full_390x1123__2.png,25.99,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",http://localhost:2139/Images/Products/man_full_390x1123__2.png,http://localhost:2139/Images/Products/man_full_390x1123__2.png,http://localhost:2139/Images/Products/man_head_med_2.png,4,FALSE,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jim Doe,Lorem Ipsum Dolor Sit Amet,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",John Doe,Sed Do Eiumond Tempor,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jack Doe,Consectetur Adipisicing Elit
5,Men's Coat One,Over the Shoulder,http://localhost:2139/Images/Areas/man_area_3.png,http://localhost:2139/Images/Areas/man_appbar_3.png,Coats & Outerware,http://localhost:2139/Images/Products/man_full_xlarge_2.png,399.99,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",http://localhost:2139/Images/Products/jacket_392x1123.png,http://localhost:2139/Images/Products/jacket_392x1123.png,http://localhost:2139/Images/Products/jacket_360x390.png,4.5,TRUE,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jamie Doe,Lorem Ipsum Dolor,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jane Doe,Lorem Ipsum Dolor Sit Amet,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",John Doe,Sed Do Eiumond Tempor
6,Men's Coat Two,Over the Shoulder,http://localhost:2139/Images/Areas/man_area_3.png,http://localhost:2139/Images/Areas/man_appbar_3.png,Coats & Outerware,http://localhost:2139/Images/Products/man_full_xlarge_2.png,359.95,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",http://localhost:2139/Images/Products/man_full_xlarge_1.png,http://localhost:2139/Images/Products/man_full_xlarge_1.png,http://localhost:2139/Images/Products/man_head_med_4.png,4.5,FALSE,,,Consectetur Adipisicing Elit,,,,,,
7,Men's Coat Three,Over the Shoulder,http://localhost:2139/Images/Areas/man_area_3.png,http://localhost:2139/Images/Areas/man_appbar_3.png,Coats & Outerware,http://localhost:2139/Images/Products/man_full_xlarge_2.png,299.99,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",http://localhost:2139/Images/Products/man_full_xlarge_4.png,http://localhost:2139/Images/Products/man_full_xlarge_4.png,http://localhost:2139/Images/Products/man_head_med_3.png,4.5,FALSE,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",John Doe,Sed Do Eiumond Tempor,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jim Doe,Consectetur Adipisicing Elit,,,
8,Suit Jacket,Over the Shoulder,http://localhost:2139/Images/Areas/man_area_3.png,http://localhost:2139/Images/Areas/man_appbar_3.png,Jackets,http://localhost:2139/Images/Products/man_full_xlarge_4.png,549.99,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",http://localhost:2139/Images/Products/man_full_390x1123__2.png,http://localhost:2139/Images/Products/man_full_390x1123__2.png,http://localhost:2139/Images/Products/man_head_med_1.png,4,FALSE,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jane Doe,Lorem Ipsum Dolor Sit Amet,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jamie Doe,Sed Do Eiumond Tempor,,,
9,Soft Red Sweater,Over the Shoulder,http://localhost:2139/Images/Areas/man_area_3.png,http://localhost:2139/Images/Areas/man_appbar_3.png,Sweaters,http://localhost:2139/Images/Products/man_full_xlarge_1.png,69.99,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",http://localhost:2139/Images/Products/sweater_392x1123.png,http://localhost:2139/Images/Products/sweater_392x1123.png,http://localhost:2139/Images/Products/man_head_med_2.png,5,FALSE,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jack Doe,Lorem Ipsum Dolor,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jessica Doe,Lorem Ipsum Dolor Sit Amet,,,
10,Blue Shirt,Over the Shoulder,http://localhost:2139/Images/Areas/man_area_3.png,http://localhost:2139/Images/Areas/man_appbar_3.png,Shirts,http://localhost:2139/Images/Products/man_full_390x1123__3.png,69.99,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",http://localhost:2139/Images/Products/man_full_xlarge_3.png,http://localhost:2139/Images/Products/man_full_xlarge_3.png,http://localhost:2139/Images/Products/man_head_med_4.png,4,TRUE,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jim Doe,Consectetur Adipisicing Elit,,,,,,
